date,o,h,l,c,v
2008-10-13,23.9987,26.0227,23.9681,26.0227,230000
2008-10-14,26.6180,26.9854,25.6825,26.1928,372300
2008-10-15,25.8492,25.8492,24.4511,25.0498,374900
2008-10-16,25.2811,25.2845,23.8116,24.1008,167400
2008-10-17,23.9851,24.0973,23.6415,23.8116,120700
2008-10-20,24.3389,24.4239,23.8116,24.2879,1460200
2008-10-21,24.2266,24.7947,23.9681,24.1484,398300
2008-10-22,24.3831,24.3831,23.9034,23.9477,113300
2008-10-23,23.9477,24.4545,23.8456,24.3525,157700
2008-10-24,23.9477,24.0837,23.4919,23.7436,155600
2008-10-27,23.8252,23.9409,22.5360,22.5360,1313600
2008-10-28,23.0258,23.3694,22.7911,22.7911,158600
2008-10-29,22.9306,24.1518,22.9306,23.8286,318700
2008-10-30,24.1348,24.4818,23.9817,24.4818,169900
2008-10-31,24.3559,24.5804,24.3525,24.4920,126500
2008-11-03,24.8182,24.8182,24.6259,24.6911,168900
2008-11-04,24.9968,24.9968,24.6431,24.9694,430300
2008-11-05,24.9968,25.1480,24.7289,24.7633,392100
2008-11-06,24.3889,24.9007,24.3855,24.7633,198100
2008-11-07,24.9453,25.0518,24.7289,25.0209,221000
2008-11-10,25.0896,25.2167,24.7289,25.0243,148600
2008-11-11,25.2750,25.2750,24.7461,24.9797,107100
2008-11-12,24.9659,24.9659,24.5710,24.6259,129400
2008-11-13,24.4267,24.6808,24.2721,24.4954,211900
2008-11-14,24.5160,24.5160,24.0420,24.1966,115200
2008-11-17,24.1966,24.3649,23.7363,23.8222,157200
2008-11-18,23.6986,23.8497,23.2177,23.3208,174700
2008-11-19,23.0254,23.2761,22.3453,22.5239,174100
2008-11-20,22.3316,22.4415,21.4661,21.7752,606400
2008-11-21,22.2973,22.4175,21.7099,21.9916,238500
2008-11-24,22.3797,22.5617,21.9916,22.0912,232500
2008-11-25,22.6132,22.6132,21.9023,22.3213,313500
2008-11-26,22.6888,22.8537,22.3591,22.8399,256400
2008-11-28,22.4552,22.8502,22.4552,22.7541,420700
2008-12-01,22.6006,22.7915,22.1008,22.2848,409700
2008-12-02,22.6562,22.6562,22.3021,22.5243,501700
2008-12-03,22.4930,22.5382,22.3577,22.5277,247800
2008-12-04,22.5312,22.5624,22.2743,22.3958,214200
2008-12-05,22.2570,22.4062,22.0418,22.4062,485500
