date,o,h,l,c,v
2008-05-20,14.5953,14.7908,14.5953,14.6931,122800
2008-05-21,14.6931,14.7191,14.5040,14.5301,66300
2008-05-22,14.6735,14.6735,14.3769,14.4454,154000
2008-05-23,14.4845,14.5040,14.3085,14.3965,82700
2008-05-27,14.4356,14.4356,14.3020,14.3671,68100
2008-05-28,14.4063,14.4486,14.3574,14.4486,63200
2008-05-29,14.4942,14.5366,14.3834,14.4421,100700
2008-05-30,14.5203,14.6800,14.4388,14.5203,64700
2008-06-02,14.5518,14.5846,14.3355,14.4928,71700
2008-06-03,14.4928,14.5977,14.2601,14.3420,54900
2008-06-04,14.3060,14.3945,14.0995,14.0995,54400
2008-06-05,14.2372,14.2896,14.0929,14.2896,63300
2008-06-06,14.3060,14.3355,14.1880,14.2404,68500
2008-06-09,14.3060,14.3060,14.0766,14.1585,71000
2008-06-10,14.1749,14.1749,13.8963,14.0864,109100
2008-06-11,14.1028,14.1028,13.6210,13.9094,101500
2008-06-12,13.8832,13.9815,13.8012,13.9291,61800
2008-06-13,13.9291,14.0012,13.8504,13.9913,39000
2008-06-16,14.2208,14.2208,13.9192,14.0831,69200
2008-06-17,14.0667,14.0929,13.9815,14.0667,68000
2008-06-18,14.1552,14.1552,13.8832,13.9782,80900
2008-06-19,14.0634,14.0634,13.8045,13.8439,106600
2008-06-20,13.8275,13.8635,13.6407,13.7455,237500
2008-06-23,13.6472,13.8766,13.3719,13.3785,96500
2008-06-24,13.3719,13.4506,13.1753,13.2867,139200
2008-06-25,13.4014,13.7652,13.2474,13.5063,121500
2008-06-26,13.5948,13.5981,13.1884,13.3162,115900
2008-06-27,13.4244,13.4244,13.0573,13.1523,134400
2008-06-30,13.1556,13.1982,12.9721,13.1458,82100
2008-07-01,13.0021,13.1043,12.5968,12.8110,167100
2008-07-02,12.8604,12.9197,12.6660,12.6693,123300
2008-07-03,12.7748,12.7748,12.4420,12.6825,28400
2008-07-07,12.7715,12.7715,12.4716,12.5507,87700
2008-07-08,12.5869,12.5869,12.3036,12.4617,94000
2008-07-09,12.5112,12.8110,12.4288,12.5474,152200
2008-07-10,12.6001,12.6034,12.2080,12.3233,103500
2008-07-11,12.1948,12.3200,11.6610,11.9279,180900
2008-07-14,11.8653,12.1256,11.0383,11.0778,303200
2008-07-15,10.9790,11.2162,9.8817,10.5111,301500
2008-07-16,10.5473,11.4502,10.5473,11.3348,194400
2008-07-17,11.6610,12.1915,11.4040,11.9279,153700
2008-07-18,12.1882,12.2080,11.3546,12.0927,105800
2008-07-21,12.2410,12.5507,12.1882,12.4288,177800
2008-07-22,12.5177,12.5210,12.1915,12.4650,154600
2008-07-23,12.8505,12.8505,12.4419,12.6331,88600
2008-07-24,12.7517,12.8505,12.4782,12.4782,141300
2008-07-25,12.8472,12.8472,12.2113,12.4716,110900
2008-07-28,12.4980,12.4980,12.1619,12.1685,56800
2008-07-29,12.1685,12.3695,12.1289,12.3695,104000
2008-07-30,12.5309,12.5342,12.3233,12.4815,80200
2008-07-31,12.6298,12.6858,12.4090,12.5375,79300
2008-08-01,12.6992,12.6992,12.3414,12.4971,69100
2008-08-04,12.5203,12.5534,12.2851,12.3646,69800
2008-08-05,12.4871,12.5269,12.2353,12.4143,105900
2008-08-06,12.6727,12.6727,12.3579,12.5037,85400
2008-08-07,12.5170,12.5170,12.3745,12.4408,64500
2008-08-08,12.5137,12.5302,12.4076,12.5269,72200
2008-08-11,12.8814,12.9179,12.4076,12.4805,85200
2008-08-12,12.4275,12.5899,12.2652,12.3414,250600
2008-08-13,12.2287,12.4110,12.1625,12.2817,76800
2008-08-14,12.2983,12.2983,12.0067,12.2884,95300
2008-08-15,12.8151,12.8151,12.2022,12.3281,127800
2008-08-18,12.5236,12.5236,12.0962,12.2055,118300
2008-08-19,12.1890,12.1890,11.9339,11.9902,113500
2008-08-20,12.1161,12.1161,11.9272,11.9968,90200
2008-08-21,12.0962,12.0962,11.8444,11.9869,99500
2008-08-22,12.1061,12.1293,11.9504,12.0962,134100
2008-08-25,12.0598,12.0598,11.9272,12.0399,88300
2008-08-26,12.0465,12.1691,11.9869,12.1061,135400
2008-08-27,12.0564,12.2850,12.0266,12.2850,75000
2008-08-28,12.2453,12.4507,12.2320,12.4408,92900
2008-08-29,12.4242,12.5534,12.4010,12.5534,151400
2008-09-02,12.6230,12.6563,12.4898,12.5398,88500
2008-09-03,12.5997,12.5997,12.4765,12.5064,83800
2008-09-04,12.6064,12.6064,12.3932,12.5131,85300
2008-09-05,12.5298,12.5298,12.3233,12.4698,193000
2008-09-08,12.5198,12.6563,12.0735,12.1368,157800
2008-09-09,12.2200,12.2200,11.4173,11.5639,215100
2008-09-10,11.5539,11.6472,11.1709,11.1775,239600
2008-09-11,11.0776,11.2242,10.7645,10.9677,168500
2008-09-12,10.8711,11.1309,10.8711,11.1176,164600
2008-09-15,10.7246,10.7246,9.9252,10.1750,370900
2008-09-16,9.8786,9.9219,9.2591,9.6121,405500
2008-09-17,9.4456,9.4923,8.3232,8.7862,679900
2008-09-18,9.0526,10.0218,8.6596,9.6987,611500
2008-09-19,10.8278,12.0335,10.3948,10.6746,483700
2008-09-22,10.6580,10.6913,10.1184,10.2250,177500
2008-09-23,10.2250,10.2350,9.6921,10.0485,272500
2008-09-24,10.3449,10.3449,9.9519,10.0385,220500
2008-09-25,10.1017,10.3915,10.0085,10.3915,238200
2008-09-26,9.8286,10.1117,9.6754,10.1117,315600
2008-09-29,10.1051,10.1051,8.4931,8.9593,569000
2008-09-30,9.0992,9.4589,8.8261,9.4589,531900
2008-10-01,9.3952,9.6805,9.1636,9.6670,296800
2008-10-02,9.6335,9.6335,9.2307,9.3985,334200
2008-10-03,9.6100,10.1303,9.4656,9.6670,470000
2008-10-06,9.6637,9.7510,8.7138,9.2307,607800
2008-10-07,9.2340,9.5026,8.1700,8.2908,547000
2008-10-08,8.3748,8.5929,7.7840,8.4184,780500
2008-10-09,8.6332,8.6534,7.2839,7.5859,702600
2008-10-10,7.2704,7.6799,6.3776,7.3174,932300
2008-10-13,7.8880,8.7238,7.8847,8.7238,1126200
2008-10-14,9.4153,9.9658,9.1971,9.4657,1650900
2008-10-15,9.4287,9.8685,9.0763,9.5664,717100
2008-10-16,9.7879,9.8248,8.7943,9.4220,800100
2008-10-17,9.6838,9.6872,9.1468,9.4657,860400
2008-10-20,9.7040,9.9020,9.4321,9.8819,1481700
2008-10-21,9.9490,10.0329,9.7308,9.9557,1145400
2008-10-22,10.0195,10.0698,9.5764,9.8315,1060300
2008-10-23,9.7342,9.7375,9.3985,9.5664,914200
2008-10-24,9.3314,9.6503,9.2072,9.6335,713900
2008-10-27,9.3448,9.6838,9.3146,9.3817,571000
2008-10-28,9.7006,9.7006,9.3515,9.4891,549000
2008-10-29,9.7073,9.7342,9.4321,9.4992,787700
2008-10-30,9.9456,9.9456,9.4522,9.8349,1240900
2008-10-31,9.8684,9.9020,9.7308,9.8684,856800
2008-11-03,10.0018,10.0052,9.7925,9.9714,758700
2008-11-04,10.0356,10.2146,9.9613,10.1639,938400
2008-11-05,10.0964,10.2551,9.6912,9.8229,1048300
2008-11-06,10.0829,10.0829,9.6878,9.9478,579500
2008-11-07,9.9444,10.0862,9.8668,9.9951,590300
2008-11-10,10.1301,10.1639,9.8938,9.9107,586000
2008-11-11,10.0120,10.0221,9.8094,10.0221,765300
2008-11-12,10.0221,10.0221,9.5662,9.6236,660400
2008-11-13,9.9444,9.9444,8.9550,9.5054,699800
2008-11-14,9.6743,9.6743,9.3366,9.5460,500700
2008-11-17,9.3569,9.6236,9.2117,9.4210,606400
2008-11-18,9.1239,9.3805,8.7795,8.9145,1061200
2008-11-19,8.8639,8.9044,7.7057,7.9150,1193100
2008-11-20,7.8542,8.0704,6.8784,7.0979,1459700
2008-11-21,7.4119,7.6922,6.7467,7.3308,1204200
2008-11-24,7.5638,8.3743,7.5638,8.3033,2325900
2008-11-25,8.5701,8.8132,8.3574,8.7997,1869600
2008-11-26,8.7727,9.0597,8.4958,8.9956,1150100
2008-11-28,9.0597,9.1070,8.9483,9.0969,513500
2008-12-01,9.1615,9.1649,8.6344,8.7636,526800
2008-12-02,8.9268,8.9268,8.7806,8.9132,685800
2008-12-03,8.8350,8.9778,8.7092,8.9778,631300
2008-12-04,8.9948,9.0186,8.8044,8.8962,810700
2008-12-05,9.1071,9.1071,8.7092,8.9404,853900
2008-12-08,9.0050,9.3247,9.0050,9.1173,731400
2008-12-09,9.0765,9.3145,8.9880,9.1207,629500
2008-12-10,9.2465,9.2465,8.9880,9.0765,771500
2008-12-11,9.1547,9.1547,8.9778,9.0187,600700
2008-12-12,8.7908,9.0118,8.7568,8.9166,709800
2008-12-15,8.8282,9.0731,8.8282,8.9472,475000
2008-12-16,9.1717,9.1819,8.8486,9.1717,1116800
2008-12-17,9.1615,9.4335,9.1003,9.4165,1327600
2008-12-18,9.4301,9.6784,9.1819,9.4641,1809800
2008-12-19,9.4199,9.6036,9.4131,9.5015,1034000
2008-12-22,9.5458,9.5560,9.3179,9.5390,617700
2008-12-23,9.5117,9.5186,9.3893,9.5117,1084300
2008-12-24,9.3893,9.5322,9.3859,9.4573,351200
2008-12-26,9.5118,9.5832,9.4811,9.5628,663100
2008-12-29,9.7337,9.7371,9.5300,9.6508,806100
2008-12-30,9.7337,9.8856,9.6646,9.8856,1181300
2008-12-31,9.8891,10.0859,9.8649,10.0859,1518800
2009-01-02,10.0479,10.4795,10.0203,10.4726,1952900
2009-01-05,10.5313,10.9387,10.4864,10.8559,3121600
2009-01-06,10.8766,11.2460,10.8766,11.1459,5798900
2009-01-07,11.1010,11.1010,10.6176,10.7937,1783000
2009-01-08,10.7454,10.7557,10.5693,10.7247,2644500
2009-01-09,10.7695,10.8213,10.6521,10.7868,1948100
2009-01-12,10.8766,10.8904,10.4760,10.6349,1091400
2009-01-13,10.6073,10.6073,10.3241,10.4864,1335900
2009-01-14,10.3621,10.3932,9.8683,10.0824,2330100
2009-01-15,9.9305,9.9788,9.1501,9.6646,3053900
2009-01-16,10.0997,10.1066,9.4091,9.5645,2688700
2009-01-20,9.3573,9.3918,8.4872,8.5286,2365600
2009-01-21,8.7945,8.8049,8.1384,8.7151,2580400
2009-01-22,8.5632,8.5735,8.0487,8.1212,2058500
2009-01-23,7.9658,8.2041,7.7863,8.1833,2204600
2009-01-26,8.2213,8.6840,8.1281,8.5804,2014800
2009-01-27,8.7876,8.7876,8.5114,8.6598,1758400
2009-01-28,9.4022,9.4747,9.1156,9.3366,2845000
2009-01-29,9.2503,9.2537,8.9084,9.0258,970900
